Video Title,Link,Start Time,End Time,Text,Speaker
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:00:10.110,00:00:34.890,"Allahu Akbar
Allahu Akbar
Allahu Akbar
Allahu Akbar",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:00:37.288,00:00:44.702,La Elaha Ella Allah,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:00:44.702,00:00:46.702,La Elaha Ella Allah,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:00:48.501,00:00:54.000,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:00:54.000,00:01:02.073,"I have been talking to you about the overwhelming,
the blessed explosion in the miracle",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:02.073,00:01:05.755,of the Quran in the last few weeks.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:05.755,00:01:12.835,"And Gatut was supposed to give the KHUTBA today,
but because of the unusual circumstances,",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:12.835,00:01:18.829,"this blessed explosion, I again asked him
to let me give the KHUTBA, today.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:18.829,00:01:22.418,"So, you have to put up with me one more time.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:22.418,00:01:33.939,"But I wanna go back to the basics. As you know, the miracle of the QURAN is based, the foundation",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:33.939,00:01:40.693,is in the first verse Bism Allah Arrahman Arraheem.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:40.693,00:01:43.960,And these are exactly 19 letters.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:48.133,00:01:54.653,"Now, we came to know that the meaning of the number
19 is that God is One",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:01:54.653,00:02:02.060,"because in the old time when the Quran was
revealed, there were no numbers.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:02.060,00:02:04.660,They used the alphabet as numbers.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:04.660,00:02:10.701,"And this for example served the letter 'WOW'
and also as the number 6.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:10.701,00:02:15.891,"This was the letter 'ALIF' and the number
1 at the same time.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:15.891,00:02:20.504,This was the letter 'HA' and the number 8.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:20.504,00:02:26.240,"These, every, every alphabet served
double as a number and an alphabet.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:26.240,00:02:30.791,The letter 'D' also served as 4.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:30.791,00:02:34.840,"So, when you add 4 and 8 is 12, 13, and 19.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:34.840,00:02:35.960,The total is 19.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:35.960,00:02:41.623,"So, the reason the number 19 is the common denominator",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:41.623,00:02:43.900,is that it means that God is One.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:43.900,00:02:45.918,This is the basic message of the Quran.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:45.918,00:02:49.090,Do not worship except Allah.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:49.090,00:02:55.590,"So, sometimes I'm surprised at as how much some
of us",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:55.590,00:02:59.853,here do not know these basic pieces of information.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:02:59.853,00:03:06.780,"So now, with this very quick review, the
blessed explosion this time has to do with",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:06.780,00:03:08.595,the five pillars of Islam.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:08.595,00:03:15.000,I'm gonna write... I'm gonna deal with the number 1 which is worshipping God alone.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:15.000,00:03:17.200,"Okay, what we just found...",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:17.200,00:03:20.434,"I think you probably knew, most of you knew
that the word",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:20.434,00:03:26.646,"'WAHID' in the Quran is found 25 times,",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:26.646,00:03:31.020,but 6 of those have nothing to do with God.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:31.020,00:03:37.060,"They have to do with the children of Israel saying ""we cannot tolerate one kind of food.""",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:37.060,00:03:38.980,(2:61) لَنْ نَصْبِرَ عَلَى طَعَامٍ وَاحِدٍ,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:38.980,00:03:43.250,"And Joseph's brother telling his children ""do
not enter from one door.""",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:43.250,00:03:45.290,"(12:67) لَا تَدْخُلُوا۟ مِنۢ بَابٍۢ وَٰحِدٍۢ 
and so on.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:45.570,00:03:52.492,"6 of them have nothing to do with Allah. 19 say, that God is One. 19 of them.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:03:52.492,00:04:02.120,"So, this keeps with the code but what is new
now is that you take the numbers of the SURAs",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:02.120,00:04:16.532,"and the numbers of verses where the word 'WAHID'
occurs and the total; One, worship God alone.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:16.532,00:04:26.751,The total is 1425 which is 19 x 75.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:26.751,00:04:29.430,It's a multiple of 19.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:29.430,00:04:34.496,"Now, it is not enough to know that God is
One",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:34.496,00:04:37.903,"that ""ALLAH WAHID"", you must worship God Alone.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:37.903,00:04:44.223,"And this is something new in the word WAHDAHU, God alone.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:44.223,00:04:47.759,This word is mentioned in the Quran 6 times.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:47.759,00:04:53.729,"5 times, it has to do with Allah and 1 time
with the Quran.",
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:53.729,00:04:59.107,(17:46) وَإِذَا ذَكَرْتَ رَبَّكَ فِى ٱلْقُرْءَانِ وَحْدَهُۥ وَلَّوْا۟ عَلَىٰٓ أَدْبَـٰرِهِمْ نُفُورًۭا,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:04:59.107,00:05:00.464,has to do with the Quran.,
19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,https://www.youtube.com/watch?v=WoKgh6SA7uk,00:05:00.464,00:05:05.106,"""If you preach the Quran alone, they don't like it.""",
